MKOOPKLA,PBRAND,PPERSAUT,APLEZIER,MOSTYPE
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
3,0,0,0,33
